coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted
DRKC,2014-07-29,2014-07-26,zlibz,1,47,2,4,106,101,5,0.02156334,0.001447131,0.001449431,0.0001121803,2.143861e-05,0.0001121894,2.14387e-05,94501.7,4,1.647895e-05,1.480198e-05,5.29984e-05,5.098102e-05
XMR,2014-05-20,2014-04-24,monero,1,8,3,1,5,5,0,0.0,0.001671136,0.001673915,0.000159329,1.981768e-05,0.0001593498,1.981768e-05,0.0,4,4.840733e-06,4.011198e-06,1.2408e-05,1.088407e-05
TAM,2015-06-26,2015-06-22,bitspender,1,640,6,482,125,56,69,0.05026419,0.001091768,0.001093243,8.501808e-05,1.772121e-05,8.502345e-05,1.772132e-05,663495.2,4,1.226414e-05,1.150428e-05,3.744572e-05,3.748129e-05
SPC,2015-08-04,2014-01-28,spirecoin,1,15,3,1,11,11,0,0.03636364,0.003181716,0.003191235,0.0003098284,2.923036e-05,0.0003099148,2.923036e-05,0.0,4,4.682762e-06,3.793549e-06,1.470645e-05,1.294351e-05
TAK,2014-02-27,2014-02-08,TakeiCoin,1,165,13,1,14,14,0,0.02197802,0.002657683,0.002664205,0.0002801511,2.65915e-05,0.0002802046,2.65915e-05,0.0,4,5.896626e-06,5.029273e-06,2.029536e-05,1.902258e-05
PRIME,2015-09-14,2013-06-29,Sunny King,1,1012,32,323,405,271,134,0.07048384,0.01131186,0.01145225,0.0008654677,0.0001090569,0.0008662056,0.0001090613,834567.8,2,0.0009081261,0.001084373,0.001775842,0.002146701
XPH,2015-06-08,2014-09-12,pathfinder dev,1,23,1,1,4,4,0,0.0,0.001339129,0.001340762,0.0001062012,1.537941e-05,0.0001062101,1.537941e-05,0.0,5,1.195808e-06,1.076018e-06,4.514403e-06,4.381262e-06
XPM,2013-07-11,2013-06-04,Sunny King,1,846,28,298,367,236,131,0.07755952,0.01291682,0.01310136,0.0008776165,0.0001192389,0.000878389,0.0001192442,696922.1,2,0.0008205613,0.001002349,0.00153868,0.001925491
GP,2015-01-16,2014-04-23,greenpay,1,10,1,1,13,13,0,0.0,0.001660015,0.001662015,0.0001612457,1.987993e-05,0.0001612693,1.987993e-05,0.0,5,6.064247e-06,5.639082e-06,1.85257e-05,1.821645e-05
BTCS,2014-03-17,2014-03-18,kosmost,1,0,0,1,3,3,0,0.0,0.001839957,0.001843187,0.0001939837,2.197368e-05,0.000194009,2.197368e-05,0.0,5,1.654926e-06,1.471724e-06,6.353853e-06,6.125453e-06
IXC,2013-05-08,2013-04-29,jubalix,1,536,114,58,348,259,89,0.07950617,0.01463662,0.01486172,0.001130736,0.0001599095,0.001131985,0.0001599189,401167.2,2,0.001857408,0.001756002,0.003312978,0.003444226
NOBL,2014-02-08,2013-12-12,AndrewNoble,1,353,1,1,13,13,0,0.0,0.005486346,0.005513616,0.0005795861,4.781029e-05,0.0005798908,4.781029e-05,0.0,3,1.784031e-05,1.454176e-05,3.747518e-05,3.523611e-05
HZT,2015-04-17,2015-04-11,HazMatCoin-Dev,1,42,3,2,44,44,0,0.05285412,0.001118298,0.001119725,8.986049e-05,1.366848e-05,8.986828e-05,1.366848e-05,0.0,4,5.027946e-06,4.982664e-06,1.771413e-05,1.8649e-05
XPY,2014-12-16,2013-08-07,deppJ,1,24,2,70,26,25,1,0.1538462,0.01028319,0.01038532,0.0008095215,6.509145e-05,0.0008100795,6.509145e-05,3.666667,4,6.219607e-05,5.188277e-05,0.0001701662,0.0001508783
PIGGY,2014-06-15,2014-02-26,piggycoin,1,320,4,1,35,33,2,0.03743316,0.002159381,0.002163057,0.0002296993,3.204347e-05,0.0002297222,3.204368e-05,93918.07,3,9.648276e-06,8.320187e-06,3.565888e-05,3.341463e-05
FIMK,2014-07-12,2014-06-01,Eliphaz Fimk,1,81,2,1,3,3,0,0.0,0.00156562,0.001567658,0.0001308301,1.780849e-05,0.0001308408,1.780849e-05,0.0,5,1.365887e-06,1.239904e-06,5.257573e-06,5.140646e-06
BYC,2014-11-23,2014-01-11,byte-coin,1,2,2,1,0,0,0,0.0,3.515804e-05,3.515804e-05,3.515804e-05,3.515804e-05,3.515804e-05,3.515804e-05,0.0,inf,1.863137e-06,1.692098e-06,7.14588e-06,7.036453e-06
BTCD,2014-07-16,2014-07-10,Azeh,1,91,3,129,23,6,17,0.1264822,0.001474523,0.001477418,0.0001166099,2.193149e-05,0.0001166189,2.193163e-05,11805.32,4,1.84187e-06,1.583735e-06,6.151675e-06,5.764048e-06
MNC,2013-05-03,2013-04-13,vipah,1,6,2,1,5,5,0,0.3,0.02020981,0.02084603,0.001203863,0.0001156203,0.001205443,0.0001156203,0.0,4,3.391595e-05,3.321698e-05,8.644494e-05,9.12782e-05
MAX,2014-02-12,2012-02-22,BitPay Business Solutions,1,702,57,210,300,217,83,0.1216524,0.03307221,0.03427384,0.001685664,0.0003600278,0.001688227,0.0003600745,89149.28,2,0.002520346,0.002859243,0.003633122,0.004253325
FFC,2014-10-26,2014-01-16,argakiig,1,271,8,25,11,0,11,0.2181818,0.003814267,0.00382522,3.386043e-05,4.750889e-05,3.386043e-05,4.750934e-05,0.0,inf,1.779803e-06,1.616556e-06,6.851081e-06,6.747714e-06
GUA,2014-11-23,2014-12-21,guaranycrypto,1,0,0,1,3,3,0,0.3333333,0.001218598,0.001220052,9.643464e-05,1.434741e-05,9.644e-05,1.434741e-05,0.0,5,2.658177e-06,2.464447e-06,8.624916e-06,8.550606e-06
BEN,2014-02-27,2014-02-03,AllAboutTheBenjaminsBaby,1,415,10,1,26,25,1,0.03384615,0.002914086,0.002921265,0.0002976656,3.771871e-05,0.0002977492,3.771899e-05,9458.333,4,1.067567e-05,9.096778e-06,3.67545e-05,3.389358e-05
GUE,2014-06-23,2014-06-18,guerillacoin,1,21,1,1,6,6,0,0.0,0.00153502,0.001536844,0.0001242423,1.730852e-05,0.0001242505,1.730852e-05,0.0,4,1.596563e-06,1.420926e-06,5.649335e-06,5.436087e-06
DTC,2013-12-07,2013-11-06,oocook5u,1,27,1,1,0,0,0,0.0,5.733945e-05,5.733945e-05,5.733945e-05,5.733945e-05,5.733945e-05,5.733945e-05,0.0,inf,2.882133e-06,2.611631e-06,1.112909e-05,1.094102e-05
GUN,2014-05-11,2014-03-04,guncoin_support,1,96,1,1,0,0,0,0.0,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,0.0,inf,1.251571e-06,1.142853e-06,4.99255e-06,4.910684e-06
YBC,2014-01-16,2013-06-27,orange,1,3,3,1,17,17,0,0.2205882,0.01133649,0.01145521,0.0008723491,7.223868e-05,0.0008729349,7.223868e-05,0.0,3,2.401502e-05,1.852439e-05,7.363723e-05,6.25362e-05
BET,2013-12-14,2013-10-31,betacoindev,1,84,4,1,11,11,0,0.03636364,0.009141163,0.009226219,0.0007074489,5.819367e-05,0.000707972,5.819367e-05,0.0,4,4.209249e-05,3.450538e-05,0.0001248626,0.0001100885
LSD,2014-09-13,2014-09-05,lightspeedLS,1,45,1,1,11,11,0,0.05454545,0.001346914,0.001348318,0.0001071253,1.549667e-05,0.0001071311,1.549667e-05,0.0,4,2.249478e-06,2.040192e-06,8.42596e-06,8.229609e-06
HUC,2014-02-14,2013-09-25,snailbrain,1,352,15,811,196,157,39,0.05428493,0.009204118,0.009290523,0.0007311106,9.026421e-05,0.0007314821,9.026647e-05,80400.05,3,0.0001881437,0.0001620102,0.0004569291,0.0004122827
TTC,2014-11-08,2014-01-30,vertoe,1,210,12,2,5,1,4,0.0,0.003044616,0.003054321,0.0003051752,3.927932e-05,0.0003052443,3.927974e-05,6.5,5,1.629173e-06,1.475315e-06,6.222615e-06,6.112676e-06
BILS,2014-08-25,2014-08-09,starteam,1,4,2,1,14,14,0,0.0,0.001409295,0.001411021,0.0001120815,1.603335e-05,0.0001120898,1.603335e-05,0.0,5,2.320208e-06,1.938869e-06,8.712938e-06,7.834901e-06
GRT,2015-07-27,2015-05-04,The Grantcoin Foundation,1,42,1,1,5,5,0,0.0,0.001111278,0.001112155,8.771231e-05,1.353894e-05,8.771723e-05,1.353894e-05,0.0,4,6.505448e-06,5.46733e-06,1.206181e-05,1.1154e-05
FLAP,2014-02-22,2014-01-24,jayguar,1,276,2,501,95,6,89,0.07995521,0.003393824,0.003404976,0.0003200611,4.291381e-05,0.0003201536,4.291427e-05,16465.84,3,2.581901e-05,2.617361e-05,2.119882e-05,1.928118e-05
BLU,2014-04-28,2014-01-29,BluCoin,1,11,1,1,3,3,0,0.0,0.003109279,0.003121356,0.0003071317,2.901747e-05,0.0003072246,2.901747e-05,0.0,4,4.907694e-06,4.283438e-06,1.746113e-05,1.663715e-05
SOLE,2014-08-21,2014-08-09,solecoin,1,50,1,1,15,15,0,0.02857143,0.001409973,0.00141161,0.000112098,1.603335e-05,0.0001121045,1.603335e-05,0.0,4,5.177275e-06,4.634485e-06,1.866719e-05,1.801691e-05
FLAX,2015-07-25,2015-06-26,ocminer,1,7557,75,968,1747,748,999,0.01503033,0.001087544,0.001088623,8.478388e-05,1.769711e-05,8.478912e-05,1.769718e-05,38571350.0,3,0.0001858744,0.0001724325,0.0004853375,0.0004830595
FTC,2013-05-03,2013-04-20,blastbob,1,352,19,13,104,85,19,0.03959642,0.0185439,0.01896627,0.001154645,0.0001737068,0.001156201,0.0001737226,83674.52,3,0.0003057856,0.0002756412,0.0008200119,0.0008096992
GRE,2014-06-23,2014-04-23,GreenCoinDev,1,3,1,1,45,45,0,0.01010101,0.001660786,0.001662981,0.0001613604,1.987993e-05,0.0001613819,1.987993e-05,0.0,4,1.169877e-05,1.063265e-05,3.799683e-05,3.662588e-05
GRC,2015-02-28,2013-05-06,noyvpom,1,81,5,5,32,26,6,0.1673387,0.01515343,0.01541414,0.001080996,0.0001494779,0.001082227,0.0001494862,145.4944,3,7.722047e-05,7.152018e-05,0.0001905203,0.0001936063
BLK,2014-02-28,2014-02-17,rat4,1,52,1,3,11,6,5,0.03636364,0.002345753,0.002350659,0.0002497243,3.364307e-05,0.0002497754,3.364326e-05,7730.45,4,3.36267e-06,2.893514e-06,1.076066e-05,9.995713e-06
CRACK,2014-09-19,2013-05-30,r3wt,1,2987,91,18,57,39,18,0.1707792,0.01283877,0.01298541,0.0008928069,0.0001212164,0.0008934609,0.0001212202,23265.41,3,5.845087e-05,4.896049e-05,0.0001546585,0.0001430763
GRN,2014-06-12,2014-05-23,GraniteCoin,1,47,1,2,15,5,10,0.06666667,0.001594124,0.001596092,0.0001340544,2.385345e-05,0.0001340685,2.385357e-05,62618.53,4,5.019608e-06,4.433156e-06,1.70981e-05,1.62721e-05
GRM,2015-06-26,2015-06-15,gmcdev,1,10,1,1,17,17,0,0.1470588,0.001085439,0.001086407,8.528458e-05,1.334917e-05,8.528933e-05,1.334917e-05,0.0,4,1.20852e-05,1.057852e-05,3.974515e-05,3.761296e-05
DSB,2014-10-25,2014-10-24,DarkShibe,1,6,1,1,18,18,0,0.05882353,0.001267007,0.001268335,0.0001020366,1.483636e-05,0.0001020442,1.483636e-05,0.0,4,4.683515e-06,4.286024e-06,1.496801e-05,1.474059e-05
BLC,2014-02-12,2013-10-08,BlueDragon747,1,332,3,49,26,24,2,0.04615385,0.009243444,0.009318757,0.0007090596,8.910376e-05,0.0007095117,8.910673e-05,113.0,4,2.293532e-05,1.879327e-05,6.656068e-05,5.929914e-05
COOL,2014-06-28,2013-12-31,IainKay,1,32,3,7,5,1,4,0.0,0.004053796,0.004068019,3.882741e-05,5.455841e-05,3.882741e-05,5.455899e-05,3.0,inf,2.071364e-06,1.875327e-06,7.997511e-06,7.849576e-06
HYPER,2014-05-31,2013-05-31,shakezula,1,1101,25,40,275,153,122,0.1295876,0.01272367,0.0129043,0.000889105,0.0001209835,0.0008898568,0.0001209885,510478.0,3,0.0002682637,0.0002852027,0.0006879517,0.0007940856
MI,2015-09-04,2015-06-12,xiaomicoin,1,5,1,1,4,4,0,0.0,0.001089816,0.001091093,8.54239e-05,1.336148e-05,8.542855e-05,1.336148e-05,0.0,4,1.248521e-06,1.137944e-06,4.728767e-06,4.64618e-06
NOC,2015-07-27,2014-01-29,extortion,1,65,3,229,94,82,12,0.09128346,0.00311706,0.003124395,0.0003071317,3.961091e-05,0.0003071943,3.96112e-05,1378.394,3,7.33324e-05,6.84656e-05,0.0001501882,0.0001499483
EMC2,2014-04-09,2014-01-20,naplam,1,53,4,4,1,0,1,0.0,0.003832516,0.003844524,3.300984e-05,4.631564e-05,3.300984e-05,4.631619e-05,0.0,inf,1.746043e-06,1.58516e-06,6.711369e-06,6.607751e-06
CBX,2013-08-04,2011-09-04,tylerR,1,6,1,23,4,3,1,0.1666667,0.03035181,0.03112988,0.001797308,0.0004127445,0.001798782,0.0004127937,0.0,4,2.428497e-05,2.084779e-05,7.127295e-05,6.672749e-05
HLC,2014-11-16,2014-01-07,hellcoin,1,2,1,1,0,0,0,0.0,3.653635e-05,3.653635e-05,3.653635e-05,3.653635e-05,3.653635e-05,3.653635e-05,0.0,inf,1.913143e-06,1.737817e-06,7.359978e-06,7.247741e-06
OPAL,2014-09-13,2014-09-12,OpalTeam,1,15,3,11,23,22,1,0.03162055,0.00134003,0.001341588,0.0001061967,2.021029e-05,0.0001062061,2.021038e-05,2695.639,4,3.158004e-06,3.002888e-06,1.077821e-05,1.10845e-05
DON,2014-06-15,2014-01-02,skyisthelimit,1,62,2,14,69,58,11,0.07374254,0.003876297,0.00389003,0.0004089735,5.358265e-05,0.0004090955,5.358305e-05,24061.73,3,4.494589e-05,3.878429e-05,0.0001061008,9.774731e-05
SHADE,2014-09-06,2014-08-30,mitzie,1,67,37,238,22,0,22,0.03030303,0.001371393,0.001372965,1.560476e-05,2.050209e-05,1.560476e-05,2.050216e-05,0.0,inf,9.427463e-07,8.642056e-07,3.666016e-06,3.610875e-06
FJC,2015-06-14,2014-05-14,motty,1,234,2,1,6,6,0,0.0,0.001616751,0.001618942,0.0001383537,1.857286e-05,0.000138365,1.857286e-05,0.0,4,1.435354e-06,1.276789e-06,5.508185e-06,5.279964e-06
SPT,2013-07-25,2013-07-23,vipah,1,57,8,102,42,31,11,0.1743902,0.01112922,0.01125341,0.0008396055,0.0001010441,0.0008402455,0.0001010471,5396.446,3,6.411968e-05,6.066185e-05,0.0001649189,0.0001663573
GLC,2013-08-04,2013-06-29,erundook,1,703,31,51,194,172,22,0.1011334,0.01126109,0.01141475,0.0008651538,0.0001090549,0.0008659027,0.0001090584,51195.0,3,0.000348576,0.0003253107,0.0009473942,0.0009405015
GLD,2013-06-14,2013-05-18,vipah,1,43,4,36,21,18,3,0.1947368,0.01409615,0.01429316,0.0009567997,0.0001322617,0.0009576108,0.0001322672,3.5,4,7.024585e-05,6.855025e-05,0.0001910388,0.0002023031
XSEED,2015-04-21,2015-04-18,BitSeedsFoundation,1,18,2,1,6,6,0,0.1333333,0.001117827,0.001118835,8.934925e-05,1.363661e-05,8.935523e-05,1.363661e-05,0.0,5,9.957102e-07,9.101492e-07,3.819189e-06,3.755328e-06
CTM,2014-02-27,2014-02-27,coinpool_de,1,99,9,65,54,30,24,0.05805515,0.002136761,0.002142156,0.0002279625,3.191058e-05,0.0002280068,3.191087e-05,173727.6,4,7.176354e-06,6.680541e-06,2.733127e-05,2.744705e-05
CTO,2015-05-18,2011-10-30,cryptoxchange,1,50,6,46,41,35,6,0.2794872,0.03377855,0.03497857,0.001740305,0.0003870355,0.001743076,0.0003870737,0.0,3,0.0005153882,0.0004632363,0.0007215634,0.0006898164
SMC,2014-02-06,2014-01-05,miramare,1,189,1,4,17,0,17,0.04411765,0.003918327,0.003934876,3.714158e-05,5.224475e-05,3.714158e-05,5.224544e-05,0.0,inf,1.936196e-06,1.760198e-06,7.449202e-06,7.338063e-06
RED,2014-01-24,2013-07-01,ahmed_bodi,1,1486,90,67,99,75,24,0.2128524,0.01153002,0.01164897,0.0008674381,0.0001080651,0.000867968,0.0001080682,12452.48,3,0.0002056953,0.0001933013,0.0005325852,0.0005304988
CLAM,2014-08-25,2014-05-25,SuperClam,1,196,1,1,32,32,0,0.0,0.001591266,0.001593339,0.0001330642,1.807534e-05,0.0001330733,1.807534e-05,0.0,5,4.837194e-06,4.276707e-06,1.818061e-05,1.744137e-05
XFC,2015-06-24,2014-06-23,finerpay,1,78,1,1,8,8,0,0.0,0.001521099,0.001522925,0.0001228827,1.718981e-05,0.0001228908,1.718981e-05,0.0,4,1.53993e-06,1.378886e-06,5.727363e-06,5.535271e-06
FCN,2014-06-08,2014-04-27,amphibian,1,118,6,1,2,1,1,0.0,0.00165303,0.001656723,1.964058e-05,2.609061e-05,1.964058e-05,2.609071e-05,2.0,inf,1.263496e-06,1.155436e-06,4.954754e-06,4.874679e-06
BSC,2015-07-13,2014-02-09,bsc,1,1,1,1,2,2,0,0.0,0.00261568,0.002622437,0.0002741593,2.640613e-05,0.000274227,2.640613e-05,0.0,4,2.385409e-06,2.153649e-06,7.806947e-06,7.554977e-06
FC2,2014-06-12,2013-05-15,Wolf Rainer,1,537,32,39,123,75,48,0.1634008,0.01338963,0.01358509,0.0009682476,0.0001349957,0.0009692271,0.0001350008,68182.69,3,0.0002283266,0.0002208137,0.0005530388,0.0005549365
LTC,2013-04-28,2011-10-10,coblee,1,756,25,105,94,65,29,0.1509927,0.03180345,0.03276831,0.001796627,0.0003920575,0.001799263,0.0003921021,10077.24,2,0.0008714149,0.001026105,0.001339825,0.001652561
LTB,2014-03-12,2014-02-13,Scooby903,1,719,37,292,447,279,168,0.06105496,0.002389046,0.002394877,0.00025989,3.453942e-05,0.0002599461,3.453967e-05,1527247.0,3,0.0001289544,0.0001186639,0.0003401327,0.0003283432
UNITY,2014-10-01,2014-02-27,Elisha,1,5,1,1,5,4,1,0.0,0.002134785,0.002139136,0.0002279361,3.191039e-05,0.0002279809,3.191055e-05,10596.5,4,2.631005e-06,2.377238e-06,1.045631e-05,1.017052e-05
AUR,2014-02-27,2014-01-20,naplam,1,42,4,4,1,0,1,0.0,0.003832516,0.003844524,3.300984e-05,4.631564e-05,3.300984e-05,4.631619e-05,0.0,inf,1.746043e-06,1.58516e-06,6.711369e-06,6.607751e-06
XTC,2014-10-25,2014-08-30,ASIC-8Tile,1,102,1,311,16,12,4,0.025,0.001371359,0.001373377,0.0001079824,2.050163e-05,0.0001079889,2.050174e-05,13686.53,4,1.87778e-06,1.696116e-06,7.012378e-06,6.827407e-06
FETISH,2014-10-20,2014-09-20,altcoin.center,1,51,3,12,3,0,3,0.0,0.001323361,0.001324997,1.526764e-05,2.006191e-05,1.526764e-05,2.006202e-05,0.0,inf,9.283072e-07,8.510332e-07,3.6031e-06,3.549626e-06
LEAF,2014-02-02,2014-01-25,mcg,1,118,7,29,148,147,1,0.02279831,0.003333105,0.00334436,0.0003175455,4.206965e-05,0.0003176214,4.207013e-05,154036.3,4,9.195185e-05,8.042603e-05,0.0002821864,0.000268755
CAT,2013-12-28,2013-11-24,Lebrick,1,81,5,191,29,14,15,0.1699507,0.008186712,0.008274354,0.0006731043,8.088845e-05,0.0006734826,8.089086e-05,603.3167,4,1.778556e-05,1.665607e-05,5.695696e-05,5.663195e-05
XWC,2014-04-18,2014-04-14,yinyangteam,1,24,1,1,58,58,0,0.01028433,0.001712136,0.001714381,0.0001687961,2.035375e-05,0.0001688194,2.035375e-05,0.0,4,1.89217e-05,1.673564e-05,5.207892e-05,4.86671e-05
ALN,2014-03-15,2014-01-10,Aliencoin,1,86,6,1,23,23,0,0.07905138,0.003606482,0.003617311,0.0003606972,3.545094e-05,0.0003607877,3.545094e-05,0.0,4,1.640271e-05,1.413751e-05,5.590694e-05,5.232112e-05
ALF,2013-07-07,2013-06-12,ahmed_bodi,1,291,41,48,59,47,12,0.2673401,0.01269098,0.01283527,0.0008584614,0.0001156108,0.0008589772,0.0001156145,11075.54,3,0.0001452445,0.000123979,0.0003793002,0.0003511243
NTR,2014-06-12,2015-04-07,lemial,1,0,0,2,9,7,2,0.1111111,0.00112307,0.00112415,9.005993e-05,1.814298e-05,9.006641e-05,1.814306e-05,17975.08,4,3.551762e-06,3.037401e-06,1.195882e-05,1.107707e-05
SBC,2013-07-07,2013-06-08,artos,1,59,4,1,78,74,4,0.06631579,0.01250768,0.01263082,0.0008665261,0.0001177035,0.0008670828,0.0001177078,31168.22,3,0.0001184735,9.263349e-05,0.0003391732,0.0002901934
SC,2015-05-06,2013-05-09,rlh,1,194,9,688,25,12,13,0.1195652,0.01539849,0.01562897,0.001044802,0.0001440975,0.001045795,0.000144104,3377.67,3,5.995918e-05,5.191635e-05,0.0001327436,0.000121919
ORB,2013-12-21,2013-09-13,torzsy,1,512,12,137,102,76,26,0.08462199,0.009528977,0.009663067,0.00075068,9.156937e-05,0.0007514415,9.157328e-05,72485.88,3,6.046923e-05,5.25643e-05,0.0001794991,0.0001641671
MMC,2013-12-24,2013-08-04,FreeTrade,1,663,36,673,190,154,36,0.1174426,0.0105762,0.01070517,0.0008126053,9.807216e-05,0.000813238,9.807484e-05,61827.46,2,0.0005205047,0.000537149,0.0006050484,0.0006369153
GLYPH,2014-06-17,2014-06-09,GLYPH,1,7,1,1,14,14,0,0.05494505,0.001576945,0.001578936,0.0001267851,1.755495e-05,0.0001267993,1.755495e-05,0.0,4,2.256853e-06,2.036021e-06,7.933573e-06,7.658095e-06
I0C,2013-11-27,2013-06-04,Hazard,1,1181,41,33,643,502,141,0.05800938,0.01290476,0.01309077,0.0008775076,0.0001192386,0.0008782857,0.0001192428,913253.7,3,0.0007911075,0.0009278898,0.001958391,0.002479592
BAT,2014-03-03,2014-01-04,cosmofly,1,103,8,10,10,6,4,0.1777778,0.004010582,0.004023984,0.0004067419,5.27317e-05,0.0004068571,5.273226e-05,53.44444,4,5.942397e-06,5.061696e-06,1.699753e-05,1.599609e-05
DOGE,2013-12-15,2013-12-09,Dogecoin,1,24,2,1,97,96,1,0.02362543,0.005746156,0.005771738,0.0005930207,7.184961e-05,0.0005932514,7.185063e-05,77056.98,3,0.0001328784,0.0001191474,0.0003886651,0.0003724008
FUTC,2015-07-21,2015-02-20,FUTCOIN,1,3,1,1,11,11,0,0.0,0.00114774,0.00114883,9.24764e-05,1.394817e-05,9.248263e-05,1.394817e-05,0.0,4,1.517081e-06,1.32422e-06,5.093037e-06,4.825633e-06
TOR,2014-07-12,2013-12-25,hover,1,429,14,1,115,115,0,0.002745995,0.004288712,0.00430353,0.000471593,4.13394e-05,0.0004717332,4.13394e-05,0.0,4,5.312914e-05,4.636862e-05,0.0001617676,0.0001525314
TOP,2014-02-17,2011-07-30,coblee,1,800,26,33,30,22,8,0.1448276,0.03621071,0.03700882,0.001818787,0.0004647504,0.001820401,0.0004647959,299.5095,2,0.0002365653,0.0001862219,0.000431505,0.0003757817
CAP,2013-07-04,2013-06-06,vinne81,1,183,7,41,69,32,37,0.2203687,0.01253615,0.01271811,0.0008687499,0.0001186288,0.0008693299,0.0001186338,535.1619,3,6.060141e-05,5.12287e-05,0.0001515994,0.0001414853
