coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
GP,2015-01-16,2015-01-07,inkha,1,122,7,215,21,16,5,0.1047619,0.001183166,0.001184209,9.506261e-05,1.87844e-05,9.506907e-05,1.878447e-05,13900.4,4,2.607798e-06,8.449069e-06
IXC,2013-05-08,2011-08-11,Nasakioto,1,99,13,1,50,50,0,0.06857143,0.03058799,0.03115163,0.001806161,0.0002606882,0.001808053,0.0002606882,0.0,3,0.0003717115,0.0007761271
NOBL,2014-02-08,2013-12-12,AndrewNoble,1,353,1,1,13,13,0,0.0,0.005486346,0.005513616,0.0005795861,4.781029e-05,0.0005798908,4.781029e-05,0.0,3,1.454176e-05,3.523611e-05
PIGGY,2014-06-15,2014-02-26,piggycoin,1,320,4,1,35,33,2,0.03743316,0.002159381,0.002163057,0.0002296993,3.204347e-05,0.0002297222,3.204368e-05,93918.07,3,8.320187e-06,3.341463e-05
FIMK,2014-07-12,2014-06-01,Eliphaz Fimk,1,81,2,1,3,3,0,0.0,0.00156562,0.001567658,0.0001308301,1.780849e-05,0.0001308408,1.780849e-05,0.0,5,1.239904e-06,5.140646e-06
BYC,2014-11-23,2014-12-09,Yanakitu Tenatako,1,42,0,336,18,5,13,0.1503268,0.001228175,0.00122977,9.742061e-05,1.90427e-05,9.74305e-05,1.904279e-05,1559.123,4,2.783771e-06,9.472052e-06
BTCD,2014-07-16,2014-07-10,Azeh,1,91,3,129,23,6,17,0.1264822,0.001474523,0.001477418,0.0001166099,2.193149e-05,0.0001166189,2.193163e-05,11805.32,4,1.583735e-06,5.764048e-06
ROS,2014-09-30,2014-01-19,lulutis2000,1,229,1,38,79,47,32,0.1168452,0.00371878,0.003730534,0.0003583975,4.667967e-05,0.0003584966,4.668013e-05,46493.58,4,2.28643e-05,7.454372e-05
MAX,2014-02-12,2014-01-30,maxcoinproject,1,2,1,1,147,147,0,0.01509645,0.003049752,0.003056286,0.0003070312,2.880018e-05,0.0003070883,2.880018e-05,0.0,3,0.0001165422,0.0003318815
WATER,2014-04-25,2014-04-01,bitwarrior,1,334,13,307,173,48,125,0.1074246,0.001767727,0.001771178,0.0001743387,2.783851e-05,0.0001743571,2.783869e-05,308701.4,3,3.854935e-05,0.0001017045
MAC,2015-02-07,2014-01-28,Ripcurl99983,1,176,1,1,6,6,0,0.06666667,0.003182494,0.003191384,0.0003099455,2.923036e-05,0.0003100296,2.923036e-05,0.0,4,4.698128e-06,1.686802e-05
FFC,2014-10-26,2013-10-28,thundertoe,1,372,38,874,299,265,34,0.07150136,0.008722502,0.008809128,0.0007068381,8.743044e-05,0.0007073712,8.743239e-05,115503.5,3,0.0003357065,0.0008793319
MAL,2014-11-24,2014-10-15,malibudev,1,35,1,1,11,11,0,0.03636364,0.001283051,0.001284448,0.0001019717,1.494322e-05,0.0001019797,1.494322e-05,0.0,4,1.277544e-06,4.971554e-06
GUA,2014-11-23,2014-11-18,DigitalCurrencyConsultant,1,77,3,566,53,9,44,0.05079826,0.001243776,0.00124505,9.937903e-05,1.921986e-05,9.938691e-05,1.921992e-05,49973.49,4,2.237531e-06,8.205375e-06
BEN,2014-02-27,2014-02-03,AllAboutTheBenjaminsBaby,1,415,10,1,26,25,1,0.03384615,0.002914086,0.002921265,0.0002976656,3.771871e-05,0.0002977492,3.771899e-05,9458.333,4,9.096778e-06,3.389358e-05
GUE,2014-06-23,2014-06-18,guerillacoin,1,21,1,1,6,6,0,0.0,0.00153502,0.001536844,0.0001242423,1.730852e-05,0.0001242505,1.730852e-05,0.0,4,1.420926e-06,5.436087e-06
GUN,2014-05-11,2014-03-04,guncoin_support,1,96,1,1,0,0,0,0.0,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,0.0,inf,1.142853e-06,4.910684e-06
YBC,2014-01-16,2013-06-27,orange,1,3,3,1,17,17,0,0.2205882,0.01133649,0.01145521,0.0008723491,7.223868e-05,0.0008729349,7.223868e-05,0.0,3,1.852439e-05,6.25362e-05
AU,2014-10-09,2014-09-24,aucoin,1,37,1,1,13,13,0,0.05128205,0.001304889,0.001306231,0.0001045411,1.52082e-05,0.0001045492,1.52082e-05,0.0,4,2.341244e-06,9.134405e-06
BET,2013-12-14,2013-10-31,betacoindev,1,84,4,1,11,11,0,0.03636364,0.009141163,0.009226219,0.0007074489,5.819367e-05,0.000707972,5.819367e-05,0.0,4,3.450538e-05,0.0001100885
LSD,2014-09-13,2014-09-05,lightspeedLS,1,45,1,1,11,11,0,0.05454545,0.001346914,0.001348318,0.0001071253,1.549667e-05,0.0001071311,1.549667e-05,0.0,4,2.040192e-06,8.229609e-06
SBC,2013-07-07,2013-06-08,artos,1,59,4,1,78,74,4,0.06631579,0.01250768,0.01263082,0.0008665261,0.0001177035,0.0008670828,0.0001177078,31168.22,3,9.263349e-05,0.0002901934
TTC,2014-11-08,2014-01-30,tittiecoin,1,138,9,1,102,101,1,0.01941371,0.003048346,0.003055638,0.0003053246,3.927907e-05,0.0003053938,3.927936e-05,115042.1,4,4.9921e-05,0.000187968
GRS,2014-04-11,2014-03-23,gruve_p,1,24,1,1,31,31,0,0.0172043,0.001801246,0.001803616,0.000186376,2.157637e-05,0.0001863922,2.157637e-05,0.0,4,8.564938e-06,3.118297e-05
BLU,2014-04-28,2014-02-08,CoMM0n,1,19,2,1,0,0,0,0.0,2.65915e-05,2.65915e-05,2.65915e-05,2.65915e-05,2.65915e-05,2.65915e-05,0.0,inf,1.237823e-06,5.397342e-06
SOLE,2014-08-21,2014-08-09,solecoin,1,50,1,1,15,15,0,0.02857143,0.001409973,0.00141161,0.000112098,1.603335e-05,0.0001121045,1.603335e-05,0.0,4,4.634485e-06,1.801691e-05
FTC,2013-05-03,2013-04-21,Number6,1,131,5,16,46,36,10,0.1707317,0.01854643,0.01889422,0.00115618,0.0001725071,0.001157054,0.0001725201,7827.809,3,0.0001781824,0.0004270718
GRE,2014-06-23,2011-12-12,ifinta,1,17,1,1,3,3,0,0.0,0.03203139,0.03308885,0.001714598,0.0002167317,0.001716548,0.0002167317,0.0,3,2.742351e-05,6.826764e-05
BLK,2014-02-28,2014-05-08,Soepkip,1,49,1,1085,130,105,25,0.01249844,0.001642203,0.001644056,0.0001445471,2.508872e-05,0.0001445596,2.508884e-05,491230.0,3,6.719455e-05,0.0001504201
CRACK,2014-09-19,2014-09-05,OfficialCrackCoin,1,44,2,1,10,10,0,0.0,0.001346477,0.0013478,0.0001071327,1.549667e-05,0.0001071411,1.549667e-05,0.0,4,4.369527e-06,1.37278e-05
GRN,2014-06-12,2014-06-27,Zywiec,1,49,0,159,21,15,6,0.05714286,0.001505194,0.001507249,0.0001208758,2.240159e-05,0.0001208855,2.240168e-05,94057.78,5,6.735231e-06,2.762509e-05
BLC,2014-02-12,2013-10-08,BlueDragon747,1,332,3,49,26,24,2,0.04615385,0.009243444,0.009318757,0.0007090596,8.910376e-05,0.0007095117,8.910673e-05,113.0,4,1.879327e-05,5.929914e-05
COOL,2014-06-28,2014-05-09,CoolloveCoin,1,10,2,1,1,1,0,0.0,0.001631912,0.001636026,1.890431e-05,1.890395e-05,1.890431e-05,1.890395e-05,0.0,inf,1.173388e-06,4.947924e-06
NOO,2014-12-25,2014-12-13,NooHackTeam,1,44,2,1,23,23,0,0.02766798,0.001223477,0.00122449,9.710136e-05,1.440507e-05,9.710771e-05,1.440507e-05,0.0,4,7.454256e-06,2.540393e-05
EMC2,2014-04-09,2014-03-02,einsteinium,1,71,4,1,71,71,0,0.02052314,0.002100644,0.002103908,0.0002249608,2.356712e-05,0.0002249965,2.356712e-05,0.0,4,2.248343e-05,7.896114e-05
HLC,2014-11-16,2014-11-17,Kisokos,1,2,0,2,3,1,2,0.0,0.001246916,0.001248014,9.950923e-05,1.460323e-05,9.951697e-05,1.460323e-05,2.0,4,9.028835e-07,3.701381e-06
SPR,2014-10-26,2014-07-30,Mr. Spread,1,90,2,1,19,19,0,0.01169591,0.001444423,0.001446265,0.0001125929,1.624722e-05,0.0001126036,1.624722e-05,0.0,4,4.199138e-06,1.560714e-05
DON,2014-06-15,2014-04-22,Donationcoin,1,230,11,2,16,16,0,0.03333333,0.001663081,0.001665531,0.0001622125,1.993581e-05,0.0001622282,1.993581e-05,0.0,4,3.993191e-06,1.453967e-05
CRYPT,2014-05-26,2012-05-13,cgpgroup,1,99,9,250,15,4,11,0.2571429,0.032425,0.03324048,0.001602029,0.0003360492,0.001603543,0.0003360789,15.0,3,5.255224e-05,7.211818e-05
GLC,2013-08-04,2013-06-27,SistaFista,1,187,7,29,69,36,33,0.2519231,0.01138335,0.01155347,0.0008710111,0.0001098097,0.0008719247,0.0001098133,2374.57,3,3.586758e-05,0.000102141
GLD,2013-06-14,2013-05-19,TheSwede75,1,1060,30,33,248,65,183,0.1340134,0.01415887,0.01440699,0.0009443525,0.0001315343,0.000944981,0.0001315412,96450.61,3,0.000171084,0.0004782354
CTM,2014-02-27,2014-02-06,corsaro,1,21,2,130,10,6,4,0.1555556,0.002744992,0.002751732,0.0002864921,3.650475e-05,0.0002865564,3.650502e-05,2.833333,4,4.567125e-06,1.336919e-05
SMC,2014-02-06,2014-01-07,smartcoin,1,82,2,1,30,30,0,0.01609195,0.003826638,0.00383863,0.0003861629,3.653635e-05,0.0003862589,3.653635e-05,0.0,4,9.26988e-06,3.490748e-05
RED,2014-01-24,2013-04-05,Mageant,1,178,14,674,207,136,71,0.1952007,0.02309916,0.02359182,0.001261923,0.0002003399,0.001263074,0.0002003525,5627.669,2,0.0005915092,0.0008924648
FCN,2014-06-08,2014-04-27,amphibian,1,118,6,1,2,1,1,0.0,0.00165303,0.001656723,1.964058e-05,2.609061e-05,1.964058e-05,2.609071e-05,2.0,inf,1.155436e-06,4.874679e-06
FC2,2014-06-12,2014-05-01,FuelCoinTeam,1,26,1,1,14,14,0,0.01098901,0.001640407,0.001642668,0.0001487197,1.936858e-05,0.0001487442,1.936858e-05,0.0,5,4.677545e-06,1.787044e-05
XTR,2015-02-06,2015-02-01,ExtractCoin,1,49,1,1,20,20,0,0.05263158,0.001167839,0.001168951,9.357566e-05,1.405541e-05,9.358194e-05,1.405541e-05,0.0,4,3.214393e-06,1.156607e-05
LTC,2013-04-28,2011-10-15,wannaBhacker,1,68,1,62,15,8,7,0.2637363,0.03116087,0.03200156,0.001794458,0.0003906375,0.001797325,0.0003906879,27.6,3,0.0001593181,0.0002569801
LTB,2014-03-12,2014-02-13,Scooby903,1,719,37,292,447,279,168,0.06105496,0.002389046,0.002394877,0.00025989,3.453942e-05,0.0002599461,3.453967e-05,1527247.0,3,0.0001186639,0.0003283432
AUR,2014-02-27,2014-02-03,balduro,1,31,1,1,5,5,0,0.0,0.002910747,0.002917964,0.00029769,2.781254e-05,0.0002977509,2.781254e-05,0.0,4,1.628317e-06,6.7918e-06
XTC,2014-10-25,2014-08-30,ASIC-8Tile,1,102,1,311,16,12,4,0.025,0.001371359,0.001373377,0.0001079824,2.050163e-05,0.0001079889,2.050174e-05,13686.53,4,1.696116e-06,6.827407e-06
LEAF,2014-02-02,2014-01-25,mcg,1,118,7,29,148,147,1,0.02279831,0.003333105,0.00334436,0.0003175455,4.206965e-05,0.0003176214,4.207013e-05,154036.3,4,8.042603e-05,0.000268755
BAY,2014-11-16,2013-12-07,cassieheart,1,216,8,143,101,91,10,0.06575964,0.005996139,0.006035075,0.0006010114,7.282415e-05,0.0006013588,7.282544e-05,34644.65,3,8.440037e-05,0.0002447723
ALN,2014-03-15,2014-01-10,Aliencoin,1,86,6,1,23,23,0,0.07905138,0.003606482,0.003617311,0.0003606972,3.545094e-05,0.0003607877,3.545094e-05,0.0,4,1.413751e-05,5.232112e-05
LMR,2014-10-11,2014-08-16,King Coolian,1,364,1,136,22,16,6,0.0,0.001394068,0.001395795,0.0001113139,2.089833e-05,0.0001113248,2.089843e-05,32547.95,4,3.022399e-06,1.150476e-05
NTR,2014-06-12,2014-06-20,NTRscam,1,0,0,1,0,0,0,0.0,1.726549e-05,1.726549e-05,1.726549e-05,1.726549e-05,1.726549e-05,1.726549e-05,0.0,inf,9.30585e-07,3.918672e-06
ORO,2014-02-27,2014-02-27,deeppurple72,1,317,55,242,103,48,55,0.04851485,0.00213763,0.002141737,0.000227981,3.191064e-05,0.0002280134,3.19108e-05,193785.7,4,1.958938e-05,7.174374e-05
MMC,2013-12-24,2013-12-15,FreeTrade,1,663,36,806,496,450,46,0.04342613,0.005038574,0.005066193,0.0005505084,6.722004e-05,0.0005507811,6.722112e-05,470020.0,2,0.0009061588,0.001567837
GLYPH,2014-06-17,2014-01-09,AliceWonder,1,211,4,213,107,10,97,0.1083558,0.003775844,0.003787902,0.000366933,5.02449e-05,0.0003670412,5.024538e-05,1564.012,3,5.959617e-06,1.619999e-05
I0C,2013-11-27,2011-08-12,BitcoinBug,1,91,2,25,17,3,14,0.2352941,0.03148758,0.03282367,0.001766305,0.0004452813,0.001768509,0.0004453665,77.48333,4,3.183124e-05,8.621259e-05
BAT,2014-03-03,2013-05-20,spoid,1,639,12,18,126,22,104,0.1936052,0.01394946,0.01417762,0.0009360681,0.000130334,0.0009367682,0.0001303402,58711.26,3,2.601993e-05,8.28807e-05
TOR,2014-07-12,2013-05-30,Time,1,1,1,1,1,1,0,0.0,0.01267809,0.0127941,0.0008928208,7.916403e-05,0.0008934822,7.916403e-05,0.0,4,5.283016e-06,1.87621e-05
TOP,2014-02-17,2014-01-09,evgamine,1,7,3,1,16,16,0,0.025,0.003770998,0.003789537,0.0003670449,3.579226e-05,0.0003671612,3.579226e-05,0.0,4,1.04049e-05,3.398762e-05
CAP,2013-07-04,2013-06-24,John Eden,1,112,6,1,5,5,0,0.5,0.01187758,0.01201473,0.000840867,7.291819e-05,0.0008415019,7.291819e-05,0.0,3,9.586787e-06,2.713291e-05
RIPO,2014-08-23,2014-08-02,RipoffCoinDevTeam,1,47,1,1,26,26,0,0.05538462,0.001440326,0.001442064,0.0001124892,1.618699e-05,0.0001124974,1.618699e-05,0.0,4,2.672201e-06,1.001911e-05
CAT,2013-12-28,2013-12-22,kr105,1,145,2,942,74,20,54,0.06392694,0.004812897,0.004827827,0.0004781363,6.087346e-05,0.0004782925,6.087409e-05,24127.98,4,1.127211e-05,3.870821e-05
CAM,2015-01-18,2014-10-20,Camorra Dev,1,124,2,1,15,15,0,0.05714286,0.001278194,0.001279355,0.000102369,1.488826e-05,0.0001023765,1.488826e-05,0.0,4,2.641576e-06,9.115175e-06
FRAC,2014-06-15,2014-06-13,Fractalcoin,1,1,1,1,3,3,0,0.0,0.001562606,0.001564753,0.0001257623,1.743558e-05,0.0001257738,1.743558e-05,0.0,5,1.14416e-06,4.720762e-06
BTG,2013-07-04,2013-05-17,mineral,1,109,2,1,52,52,0,0.09426848,0.01370195,0.01384192,0.0009505264,8.594019e-05,0.0009511217,8.594019e-05,0.0,3,7.49144e-05,0.0002224755
VPN,2014-11-23,2014-07-23,vpncoin,1,302,7,1,8,8,0,0.07142857,0.001446313,0.00144835,0.0001125673,1.640259e-05,0.0001125782,1.640259e-05,0.0,4,2.951767e-06,1.019781e-05
NEOS,2014-08-25,2014-08-19,twoturtles,1,172,3,202,75,72,3,0.01225225,0.001383051,0.001384422,0.0001106772,2.082822e-05,0.0001106861,2.082829e-05,33982.06,4,2.747122e-05,8.783781e-05
RZR,2014-06-21,2014-06-09,RazorTech,1,39,1,1,9,9,0,0.02777778,0.001576151,0.001578473,0.0001267601,1.755495e-05,0.000126769,1.755495e-05,0.0,4,1.301289e-06,5.28865e-06
STR,2014-08-05,2014-08-02,Zohann,1,28,1,166,5,4,1,0.0,0.001439684,0.001441692,0.0001124769,2.12608e-05,0.0001124866,2.126092e-05,14742.0,4,3.874765e-06,1.361967e-05
KTK,2014-06-08,2014-05-13,KryptKoin,1,46,1,1,13,13,0,0.0,0.00162249,0.001624791,0.0001406476,1.864385e-05,0.0001406589,1.864385e-05,0.0,4,2.164031e-06,8.631268e-06
ABY,2014-06-12,2014-05-12,First.Bitcoins,1,181,39,93,51,36,15,0.04326531,0.001628615,0.001631042,0.0001422993,2.470199e-05,0.0001423158,2.470214e-05,42655.05,4,7.430631e-06,2.625416e-05
EXCL,2014-09-30,2015-02-13,stolenjelly,1,0,0,111,6,2,4,0.06666667,0.001157781,0.001158799,1.39868e-05,1.850456e-05,1.39868e-05,1.850461e-05,5.833333,inf,1.132679e-06,4.707032e-06
CFN,2014-12-16,2014-05-14,ConfessionCoin,1,127,1,1,20,20,0,0.0,0.001616986,0.001619062,0.0001384259,1.857286e-05,0.0001384384,1.857286e-05,0.0,4,4.053716e-06,1.688938e-05
QRK,2013-08-25,2013-07-22,quarkcoin,1,27,2,3,54,53,1,0.07267645,0.01111865,0.01121561,0.0008459787,6.736275e-05,0.0008464737,6.736275e-05,48.22619,3,9.371351e-05,0.0002377631
XQN,2014-11-23,2014-11-12,CedricQuotient,1,78,2,1,28,28,0,0.06084656,0.001251205,0.001252489,0.0001003576,1.465201e-05,0.0001003646,1.465201e-05,0.0,4,5.388444e-06,1.78358e-05
LIT,2014-07-05,2014-06-13,Lightcoinproject,1,34,1,1,6,6,0,0.0,0.001563826,0.001566114,0.0001257662,1.743558e-05,0.0001257783,1.743558e-05,0.0,5,1.107025e-06,4.617553e-06
GHC,2014-10-10,2014-09-26,coinweaver,1,154,5,224,265,256,9,0.01416422,0.001304,0.001305648,0.0001043086,1.993995e-05,0.0001043171,1.994003e-05,690951.5,3,0.0001160062,0.0003539252
AMBER,2015-02-06,2015-02-03,AmberCoinDev,1,57,2,1,12,12,0,0.1515152,0.001165043,0.001166616,9.355763e-05,1.404613e-05,9.356681e-05,1.404613e-05,0.0,4,1.162153e-06,4.479099e-06
PRC,2014-02-20,2014-01-30,inmean,1,76,4,1,15,15,0,0.01904762,0.003045675,0.003054109,0.0003053551,2.880018e-05,0.0003054154,2.880018e-05,0.0,4,4.478475e-06,1.789364e-05
MEOW,2014-01-24,2013-12-25,lonestar108,1,26,2,41,57,55,2,0.02272727,0.004290877,0.004305353,0.0004698534,5.849743e-05,0.0004700022,5.849838e-05,23495.04,4,7.359616e-05,0.0002466322
PRT,2014-01-22,2014-01-01,moonmoon,1,44,6,1,116,116,0,0.02818591,0.003906042,0.003917612,0.0004114965,3.845119e-05,0.0004116224,3.845119e-05,0.0,4,6.956451e-05,0.0002450534
CHA,2014-05-20,2014-03-24,magician,1,35,1,1,6,6,0,0.06666667,0.001799997,0.00180252,0.0001848491,2.149983e-05,0.0001848678,2.149983e-05,0.0,3,4.735103e-05,0.000121339
MRY,2014-03-03,2014-01-21,bholzer,1,294,3,175,51,26,25,0.08627451,0.00363676,0.003654337,0.0003437176,4.547601e-05,0.0003438248,4.547661e-05,41974.71,4,8.377789e-06,3.080037e-05
URO,2014-06-12,2011-03-14,Bruce Wagner,1,423,68,124,135,121,14,0.133753,0.3348902,0.4897357,0.008272759,0.002435859,0.008328121,0.002437894,10264.72,2,0.03264296,0.04085595
MRS,2014-02-24,2014-01-28,atleticofa,1,407,7,73,86,21,65,0.08515406,0.0031872,0.003197095,0.0003097076,3.994166e-05,0.0003097623,3.9942e-05,50816.9,4,6.634583e-06,2.582447e-05
MUE,2014-11-01,2014-09-12,Mue,1,99,2,1,5,3,2,0.1,0.001339671,0.001341396,1.538012e-05,2.021074e-05,1.538012e-05,2.021084e-05,128.6667,inf,9.419707e-07,3.930248e-06
VIA,2014-07-18,2014-06-09,btcdrak,1,196,5,371,16,0,16,0.1666667,0.001576802,0.001578872,1.755495e-05,2.305076e-05,1.755495e-05,2.305085e-05,0.0,inf,9.449922e-07,3.975257e-06
SFR,2014-06-15,2014-04-28,saffroncoin,1,362,1,1,8,8,0,0.0,0.001640697,0.00164302,0.0001531678,1.957483e-05,0.0001531807,1.957483e-05,0.0,4,5.615891e-06,1.973207e-05
APC,2014-02-09,2013-11-20,Fablio2,1,284,9,167,187,88,99,0.1076971,0.008569277,0.008652516,0.0006784551,8.213152e-05,0.0006788911,8.213372e-05,127222.5,3,0.0001444868,0.0004002607
PYC,2014-12-06,2013-08-07,deppJ,1,24,2,70,26,25,1,0.1538462,0.01028319,0.01038532,0.0008095215,6.509145e-05,0.0008100795,6.509145e-05,3.666667,4,5.188277e-05,0.0001508783
KORE,2014-06-21,2014-06-16,KoreCoin,1,135,1,1,59,59,0,0.002922268,0.001559757,0.001561542,0.000124884,1.73596e-05,0.0001248921,1.73596e-05,0.0,4,9.14889e-06,3.165803e-05
XLB,2014-05-13,2014-05-09,Libertycoin,1,67,6,58,49,49,0,0.01445578,0.001636451,0.001638549,0.0001436532,1.890395e-05,0.00014367,1.890395e-05,0.0,3,1.254889e-05,3.859892e-05
CAIx,2014-04-15,2014-03-14,Caishen_Project,1,20,1,1,14,14,0,0.0,0.001874136,0.0018759,0.0001986835,2.227072e-05,0.0001987049,2.227072e-05,0.0,5,5.692328e-06,2.159597e-05
IFC,2013-07-10,2013-06-06,fisheater,1,387,12,29,172,107,65,0.1825685,0.01254348,0.01270873,0.0008689626,0.0001186293,0.000869597,0.0001186337,71281.34,3,0.0001897618,0.000544443
PLNC,2014-04-15,2014-03-11,WalutowyKrol,1,17,1,49,11,6,5,0.0,0.001899987,0.001902865,0.0002042549,3.012076e-05,0.0002042917,3.012091e-05,767.0661,4,1.74094e-06,6.835847e-06
PSEUD,2014-07-21,2014-07-04,twhh,1,35,2,107,18,6,12,0.1633987,0.001485308,0.001487182,0.0001175745,2.211479e-05,0.0001175833,2.211488e-05,96.20606,5,1.020731e-06,4.258153e-06
NLG,2014-04-08,2014-04-03,guldencoin,1,30,1,1,34,34,0,0.01782531,0.001766468,0.001768868,0.0001743286,2.081599e-05,0.0001743526,2.081599e-05,0.0,3,1.084226e-05,3.50483e-05
DOGED,2014-10-25,2014-10-10,Dogedarkdev,1,46,2,1,21,21,0,0.07619048,0.001283236,0.001284335,0.0001028429,1.500623e-05,0.0001028503,1.500623e-05,0.0,4,1.81641e-06,6.844498e-06
CSC,2013-07-25,2013-07-19,transcoder,1,46,4,8,32,31,1,0.1330645,0.01111768,0.01125867,0.0008444944,0.0001017684,0.00084528,0.0001017715,10039.97,3,3.525567e-05,0.0001081351
GCN,2014-11-16,2014-04-05,Mr G,1,20,1,1,0,0,0,0.0,2.072195e-05,2.072195e-05,2.072195e-05,2.072195e-05,2.072195e-05,2.072195e-05,0.0,inf,1.062459e-06,4.507822e-06
SHA,2014-06-25,2014-03-13,SHACoin,1,57,2,1,6,6,0,0.0,0.001877601,0.001880258,0.000200241,2.236786e-05,0.000200264,2.236786e-05,0.0,4,3.094822e-06,1.119672e-05
SHADE,2014-09-06,2014-08-30,prix,1,186,1,104,65,6,59,0.09375,0.00137167,0.001373357,0.0001079797,2.050167e-05,0.0001079874,2.050176e-05,4180.367,5,1.15598e-06,4.615522e-06
RT2,2014-03-29,2014-03-16,Rotocoin,1,101,2,1,50,50,0,0.0122449,0.001837705,0.00184027,0.0001948782,2.211802e-05,0.0001949049,2.211802e-05,0.0,4,1.609961e-05,6.197322e-05
CAGE,2014-04-15,2014-01-02,Nicolas_Cage,1,19,3,1,19,19,0,0.07602339,0.003870654,0.003883215,0.0004090658,3.814028e-05,0.000409216,3.814028e-05,0.0,4,1.366005e-05,4.490888e-05
MMXIV,2014-05-31,2014-05-25,MMXIV,1,105,2,1,15,15,0,0.00952381,0.001591563,0.001593863,0.0001330238,1.807534e-05,0.00013304,1.807534e-05,0.0,4,4.361323e-06,1.472588e-05
BTQ,2014-07-29,2014-02-16,BitQuark,1,340,1,1,8,8,0,0.0,0.002373103,0.002377955,0.00025297,2.529404e-05,0.0002530135,2.529404e-05,0.0,4,2.506433e-06,1.069821e-05
PROZ,2014-09-06,2014-08-16,ProzCoin,1,170,1,1,17,17,0,0.0,0.001393745,0.001395205,0.0001113483,1.589598e-05,0.0001113556,1.589598e-05,0.0,4,3.667558e-06,1.486115e-05
